Rxn_No	Rxn_Type	Ai	Bi	Ci	Ea	Afwd	Aratio
1	O	1	1	2	0.14	1.00E+13	1
2	O	1	2	3	0.14	1.00E+13	1
3	O	1	3	4	0.14	1.00E+13	1
4	O	1	4	6	0.14	1.00E+13	1
5	O	1	5	7	0.14	1.00E+13	1
6	O	1	6	8	0.14	1.00E+13	1
7	O	1	6	9	0.14	1.00E+13	1
8	O	1	6	10	0.14	1.00E+13	1
9	O	1	7	11	0.14	1.00E+13	1
10	O	1	8	13	0.14	1.00E+13	1
11	O	1	8	15	0.14	1.00E+13	1
12	O	1	8	16	0.14	1.00E+13	1
13	O	1	9	14	0.14	1.00E+13	1
14	O	1	9	15	0.14	1.00E+13	1
15	O	1	9	16	0.14	1.00E+13	1
16	O	1	10	16	0.14	1.00E+13	1
17	O	1	11	17	0.14	1.00E+13	1
18	O	1	11	18	0.14	1.00E+13	1
19	O	1	11	19	0.14	1.00E+13	1
20	O	1	12	20	0.14	1.00E+13	1
21	C	2	2	4	0.37	1.00E+13	1
22	C	2	3	6	0.37	1.00E+13	1
23	C	2	4	8	0.37	1.00E+13	1
24	C	2	4	9	0.37	1.00E+13	1
25	C	2	5	11	0.37	1.00E+13	1
26	C	2	6	14	0.37	1.00E+13	1
27	C	2	6	15	0.37	1.00E+13	1
28	C	2	6	16	0.37	1.00E+13	1
29	C	2	7	17	0.37	1.00E+13	1
30	C	2	7	18	0.37	1.00E+13	1
31	C	3	3	9	0.71	1.00E+13	1
32	C	3	4	14	0.71	1.00E+13	1
33	C	3	4	15	0.71	1.00E+13	1
34	C	3	5	18	0.71	1.00E+13	1
35	H	4	5		0.89	1.00E+13	1
36	H	6	7		0.89	1.00E+13	1
37	H	8	11		0.89	1.00E+13	1
38	H	9	11		0.89	1.00E+13	1
39	H	10	11		0.89	1.00E+13	1
40	H	13	17		0.89	1.00E+13	1
41	H	14	18		0.89	1.00E+13	1
42	H	15	17		0.89	1.00E+13	1
43	H	15	18		0.89	1.00E+13	1
44	H	16	17		0.89	1.00E+13	1
45	H	16	19		0.89	1.00E+13	1
46	H	11	12		0.89	1.00E+13	1
47	H	17	20		0.89	1.00E+13	1
48	H	18	20		0.89	1.00E+13	1
49	H	19	20		0.89	1.00E+13	1
50	D	1			0.14	1.00E+03	1
51	D	2			0.37	1.00E+03	1
52	D	3			0.71	1.00E+03	1
53	D	4			1.35	1.00E+03	1
54	D	5			1.42	1.00E+03	1
