Filename,Eads,NPd,Charge
pd1-ceria-co-CONTCAR,-2.4,1,0.54
pd2-ceria-co-CONTCAR,-2.98,2,0.39
pd3-ceria-co-CONTCAR,-3.06,3,0.23
pd4-ceria-co-CONTCAR,-2.58,4,0.17
pd5-ceria-co-CONTCAR,-3.03,5,0.06
pd6-ceria-co-CONTCAR,-2.28,6,0.16
pd7-ceria-co-CONTCAR,-2.2,7,0.14
pd8-ceria-co-CONTCAR,-2.36,8,0.1
pd9-ceria-co-CONTCAR,-2.03,9,0.16
pd10-ceria-co-CONTCAR,-2.31,10,0.17
pd11-ceria-co-CONTCAR,-2.29,11,0.12
pd12-ceria-co-CONTCAR,-2.43,12,0.1
pd13-ceria-co-CONTCAR,-2.38,13,0.093
pd14-ceria-co-CONTCAR,-2.31,14,0.123
pd15-ceria-co-CONTCAR,-2.25,15,0.116
pd16-ceria-co-CONTCAR,-2.29,16,0.123
pd17-ceria-co-CONTCAR,-2.33,17,0.12
pd18-ceria-co-CONTCAR,-2.33,18,0.113
pd19-ceria-co-CONTCAR,-2.08,19,0.116
pd20-ceria-co-CONTCAR,-2,20,0.113
pd10-ceria-a1.CONTCAR,-1.71,10,0
pd10-ceria-a2.CONTCAR,-2.25,10,0.085
pd10-ceria-a3.CONTCAR,-1.92,10,-0.0085
pd12-ceria-a1.CONTCAR,-2.25,12,-0.02
pd12-ceria-a2.CONTCAR,-2.44,12,0.032
pd13-ceria-a1.CONTCAR,-2.26,13,-0.0036
pd13-ceria-a2.CONTCAR,-1.29,13,0.12
pd14-ceria-a1.CONTCAR,-2.19,14,-0.02
pd14-ceria-a2.CONTCAR,-1.39,14,0.18
pd15-ceria-a1.CONTCAR,-2.4,15,-0.027
pd15-ceria-a2.CONTCAR,-2.36,15,0.07
pd16-ceria-a1.CONTCAR,-2.4,16,-0.015
pd16-ceria-a2.CONTCAR,-2.24,16,0.085
pd17-ceria-a1.CONTCAR,-2.44,17,-0.01
pd17-ceria-a2.CONTCAR,-1.52,17,0.18
pd2-ceria-a1.CONTCAR,-2.67,2,0.31
pd3-ceria-a1.CONTCAR,-2.94,3,0.28
pd3-ceria-a2.CONTCAR,-2.64,3,0.38
pd4-ceria-a1.CONTCAR,-2.33,4,0.085
pd4-ceria-a2.CONTCAR,-2.57,4,0.157
pd4-ceria-a3.CONTCAR,-1.81,4,0.23
pd4-ceria-a4.CONTCAR,-1.56,4,-0.06
pd5-ceria-a1.CONTCAR,-2.26,5,0.073
pd5-ceria-a2.CONTCAR,-2.18,5,0.16
pd5-ceria-a4.CONTCAR,-1.58,5,0.13
pd5-ceria-a5.CONTCAR,-1.27,5,-0.13
pd5-ceria-a6.CONTCAR,-2.51,5,0.047
pd6-ceria-a1.CONTCAR,-2.27,6,0.105
pd6-ceria-a2.CONTCAR,-2.21,6,0.15
pd6-ceria-a3.CONTCAR,-2.39,6,0.2
pd6-ceria-a4.CONTCAR,-1.47,6,0.26
pd6-ceria-a5.CONTCAR,-2.33,6,0.215
pd6-ceria-a6.CONTCAR,-1.5,6,-0.054
pd7-ceria-a1.CONTCAR,-1.82,7,-0.01
pd7-ceria-a2.CONTCAR,-2.23,7,0.143
pd7-ceria-a3.CONTCAR,-1.82,7,0.235
pd7-ceria-a4.CONTCAR,-2.22,7,0.08
pd7-ceria-a5.CONTCAR,-1.8,7,-0.01
pd7-ceria-a6.CONTCAR,-2.2,7,0.08
pd7-ceria-a7.CONTCAR,-1.24,7,0.23
pd9-ceria-a1.CONTCAR,-1.85,9,-0.005
pd9-ceria-a2.CONTCAR,-2.3,9,0.16
pd9-ceria-a3.CONTCAR,-2.38,9,0.105
pd9-ceria-a4.CONTCAR,-1.82,9,0.067
pd9-ceria-a5.CONTCAR,-1.82,9,-0.0105
