,Filename,AtomsObject,Eads,NPd,SiteType,RealSite,CN1,CN2,Z,Charge,Nsites,PdC1,PdC2,PdC3
0,pd1-ceria-co-CONTCAR,"Atoms(symbols='CCe32O65Pd', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.4,1,top,top,0.0,0.0,4.138674501199406,0.54,1,1.8933809234285428,0.0,0.0
1,pd10-ceria-a1.CONTCAR,"Atoms(symbols='CCe32O65Pd10', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-1.71,10,hollow,hollow,5.0,2.0,6.2480647832202365,0.0,3,2.0695013305929777,2.0973454971071517,2.1590173521446108
2,pd10-ceria-a2.CONTCAR,"Atoms(symbols='CCe32O65Pd10', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.25,10,bridge,bridge,4.500906554484063,1.5009065544840632,4.814061854486149,0.085,2,1.9735526162085284,1.98072214724458,3.4197795792992096
3,pd10-ceria-a3.CONTCAR,"Atoms(symbols='CCe32O65Pd10', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-1.92,10,top,top,5.0,2.0,5.711728340541289,-0.0085,1,1.8685320523596265,3.2975486200951365,3.512796986396949
4,pd10-ceria-co-CONTCAR,"Atoms(symbols='CCe32O65Pd10', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.31,10,hollow,hollow,4.325764115126827,1.3257641151268265,4.194386662294689,0.17,3,2.0125037311108915,2.0755114616881185,2.0897792224249727
5,pd11-ceria-co-CONTCAR,"Atoms(symbols='CCe32O65Pd11', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.29,11,hollow,hollow,4.039547875277773,0.6798492917592576,3.9305134774940194,0.12,3,1.9940080392931014,2.1133541936064764,2.1209795697794123
6,pd12-ceria-a1.CONTCAR,"Atoms(symbols='CCe32O65Pd12', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.25,12,bridge,bridge,5.501101820339251,1.5011018203392505,5.861787493617007,-0.02,2,1.9869403665868637,1.99571671173317,3.2566316059434626
7,pd12-ceria-a2.CONTCAR,"Atoms(symbols='CCe32O65Pd12', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.44,12,bridge,bridge,4.000197237936567,0.5000986189682836,4.7145628471934735,0.032,2,1.9602665248127884,1.9610399552115556,3.494936380291545
8,pd12-ceria-co-CONTCAR,"Atoms(symbols='CCe32O65Pd12', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.43,12,hollow,hollow,4.700813477214474,0.6759267207307292,4.009107663390476,0.1,3,1.994219633250095,2.012024515169843,2.147362954722647
9,pd13-ceria-a1.CONTCAR,"Atoms(symbols='CCe32O65Pd13', pbc=True, cell=[[13.447698687879647, -7.764032457428296, 0.0], [0.0, 15.528064914856582, 0.0], [0.0, 0.0, 19.754479466776573]], constraint=FixAtoms(indices=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]))",-2.26,13,bridge,bridge,6.0097436706005505,1.5048718353002752,6.255015573603655,-0.0036,2,1.9718260976041404,2.010629836406346,2.8236999459193584
