Species_name	Ei	A_n	Ai	A_No_layers	A_1st	A_2nd	Graph_Multiplicity
Pd1	0	1	1	1	1	0	1
Pd2	-0.45	2	2	1	2	0	2
Pd3	-1.5	3	3	1	3	0	3
Pd4	-2.56	4	4	1	4	0	4
Pd4_3&1	-2.74	4	5	2	3	1	3
Pd5	-3.41	5	6	1	5	0	1
Pd5_4&1	-3.99	6	7	2	4	1	4
Pd6_1	-4.49	6	8	1	6	0	1
Pd6_2	-4.38	6	9	1	6	0	1
Pd6_3	-4.32	6	10	1	6	0	3
Pd6_5&1	-5.23	6	11	2	5	1	1
Pd6_4&2	-4.95	6	12	2	4	2	4
Pd7_1	-6.07	7	13	1	7	0	6
Pd7_2	-4.9	7	14	1	7	0	1
Pd7_3	-5.11	7	15	1	7	0	1
Pd7_4	-5.12	7	16	1	7	0	1
Pd7_6_1&1	-6.26	7	17	2	6	1	1
Pd7_6_2&1	-5.96	7	18	2	6	1	1
Pd7_6_3&1	-5.91	7	19	2	6	1	3
Pd7_5&2	-6.65	7	20	2	5	2	1
